Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
A1BG		ENSG00000121410	"Alpha-1-B glycoprotein"	P04217	19	58345178-58353492	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1513	"liver: 1194.2"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 18.2;Oligodendrocytes: 8.1;Plasma cells: 8.2"	"Cancer enriched"	"Detected in single"	85	"liver cancer: 22.3"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB016673, HPA044252"	Supported				"Secreted to blood"	"No annotated function"	NA	NA	200000000000	51000000000		"Cluster 31: Liver - Plasma proteins"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 7: T-cells - T-cell receptor"				"CAB016673: AB_1611892, HPA044252: AB_2678876"	"unprognostic (9.95e-2)"	"unprognostic (5.31e-2)"	"unprognostic (3.67e-2)"	"unprognostic (3.44e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.66e-2)"	"prognostic favorable (3.97e-4)"	"unprognostic (1.09e-1)"	"unprognostic (2.59e-1)"	"unprognostic (2.10e-1)"	"unprognostic (1.47e-2)"	"unprognostic (1.37e-2)"	"unprognostic (4.19e-5)"	"unprognostic (2.37e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.72e-1)"	"unprognostic (6.72e-2)"
A2M	"CPAMD5, FWP007, S863-7"	ENSG00000175899	Alpha-2-macroglobulin	P01023	12	9067664-9116229	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 1212.9;lung: 1626.5"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 1247.2;Cardiomyocytes: 393.1;Endothelial cells: 861.7;Hepatocytes: 654.0;Microglial cells: 339.1;Smooth muscle cells: 471.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"gdT-cell: 1.5"	"Lineage enhanced"	"Detected in single"		"T-cells: 1.5"	"Cancer enhanced"	"Detected in many"		"Brain cancer: 48.1;liver cancer: 106.6;skin cancer: 72.1"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Macrophages, Kidney - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_1, Prostate - Fibroblasts, Skeletal muscle - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002265, CAB017621"	Supported				"Secreted to blood"	"Enzyme inhibitor"	NA	NA	1630000000000	170000000000	"Cluster 1: T-cells - Unknown function"	"Cluster 11: Liver - Plasma proteins"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	51			"CAB017621: AB_1118894, HPA002265: AB_1078142"	"unprognostic (1.73e-2)"	"unprognostic (1.05e-3)"	"unprognostic (1.72e-1)"	"unprognostic (2.29e-2)"	"unprognostic (7.36e-2)"	"unprognostic (3.91e-2)"	"unprognostic (7.95e-2)"	"unprognostic (3.65e-2)"	"unprognostic (2.38e-1)"	"unprognostic (7.19e-2)"	"unprognostic (4.71e-2)"	"unprognostic (2.06e-2)"	"unprognostic (1.28e-2)"	"unprognostic (8.04e-3)"	"unprognostic (2.32e-2)"	"unprognostic (8.58e-2)"	"unprognostic (9.03e-3)"
A2ML1	"CPAMD9, FLJ25179, p170"	ENSG00000166535	"Alpha-2-macroglobulin like 1"	A8K2U0	12	8822621-8887001	"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 540.7;vagina: 198.6"	"Group enriched"	"Detected in some"	5	"Squamous epithelial cells: 157.1;Suprabasal keratinocytes: 477.0"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 39.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"head and neck cancer: 13.2"	"Testis - Sertoli cells"					"Low region specificity"	"Detected in many"			"HPA038847, HPA038848"	Enhanced				"Secreted in other tissues"	"Enzyme inhibitor"	NA	NA		10000000		"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"				"HPA038847: AB_2676236, HPA038848: AB_10672654"	"unprognostic (1.13e-2)"	"unprognostic (7.64e-2)"	"unprognostic (1.04e-2)"	"unprognostic (9.46e-3)"	"unprognostic (2.14e-1)"	"unprognostic (5.54e-3)"	"unprognostic (4.59e-2)"	"unprognostic (7.58e-3)"	"unprognostic (2.63e-1)"	"unprognostic (1.57e-1)"	"unprognostic (1.15e-3)"	"unprognostic (2.03e-1)"	"unprognostic (1.06e-9)"	"unprognostic (2.28e-1)"	"unprognostic (3.07e-1)"	"unprognostic (5.88e-2)"	"unprognostic (2.42e-2)"
AADACL2	MGC72001	ENSG00000197953	"Arylacetamide deacetylase like 2"	Q6P093	3	151733916-151761339	"Predicted secreted proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	19	"skin 1: 34.5"	"Cell type enriched"	"Detected in some"	12	"Suprabasal keratinocytes: 32.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose visceral - Mesothelial cells, Colon - Fibroblasts, Skin - Keratinocyte (other)"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted in other tissues"	Enzyme	NA	NA				"Cluster 13: Skin - Cornification"			"Cluster 59: Suprabasal keratinocytes - Cornification"						"unprognostic (2.20e-2)"				"unprognostic (3.10e-3)"		"unprognostic (2.63e-2)"	"unprognostic (1.37e-1)"	"unprognostic (1.22e-1)"				"unprognostic (3.00e-1)"			"unprognostic (2.91e-4)"
ABHD15		ENSG00000168792	"Abhydrolase domain containing 15"	Q6UXT9	17	29560547-29567037	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 25.4"	"Cell type enriched"	"Detected in many"	6	"dendritic cells: 175.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"basophil: 18.2;MAIT T-cell: 6.6;NK-cell: 10.8;plasmacytoid DC: 23.6"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			HPA014470	Approved		Approved	Nucleoplasm,Cytosol	"Secreted to blood"	"No annotated function"	NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 11: Liver - Plasma proteins"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 28: Dendritic cells - Antigen presentation"	4	"Nucleoplasm, Cytosol"		"HPA014470: AB_1852993"	"unprognostic (1.79e-1)"	"unprognostic (4.00e-2)"	"unprognostic (1.38e-1)"	"unprognostic (8.60e-3)"	"unprognostic (1.91e-1)"	"unprognostic (1.62e-1)"	"unprognostic (4.61e-1)"	"unprognostic (1.87e-1)"	"unprognostic (1.85e-1)"	"unprognostic (9.76e-2)"	"unprognostic (1.76e-3)"	"unprognostic (3.00e-2)"	"unprognostic (3.58e-2)"	"unprognostic (1.70e-1)"	"unprognostic (1.71e-1)"	"unprognostic (3.46e-1)"	"unprognostic (5.45e-2)"
ABI3BP	"DKFZP586L2024, NESHBP, TARSH"	ENSG00000154175	"ABI family member 3 binding protein"	Q7Z7G0	3	100749156-100993515	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 211.2;Leydig cells: 97.9;Lymphatic endothelial cells: 155.1;Muller glia cells: 78.9"	"Cancer enhanced"	"Detected in many"		"renal cancer: 10.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Sarcoma: 43.0;thyroid cancer: 49.9"	"Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Colon - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"	"Group enriched"	"Detected in many"	4	"amygdala: 4.2;basal ganglia: 15.9;cerebellum: 5.5;cerebral cortex: 13.9;olfactory bulb: 12.0"	"Low region specificity"	"Detected in all"			HPA044127	Uncertain				"Secreted in other tissues"	"No annotated function"	NA	NA		550000000		"Cluster 62: Connective tissue - ECM organization"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"				"HPA044127: AB_2678823"	"unprognostic (4.32e-2)"	"unprognostic (3.32e-2)"	"unprognostic (6.36e-2)"	"unprognostic (3.41e-1)"	"unprognostic (1.70e-1)"	"unprognostic (7.20e-2)"	"unprognostic (7.58e-2)"	"unprognostic (6.25e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.36e-1)"	"unprognostic (1.08e-1)"	"unprognostic (9.46e-2)"	"prognostic favorable (6.14e-4)"	"unprognostic (2.27e-2)"	"unprognostic (2.69e-2)"	"unprognostic (6.59e-2)"	"unprognostic (1.07e-3)"
ABO	"A3GALNT, A3GALT1"	ENSG00000175164	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		9	133233278-133276024	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in many"		"intestine: 12.9"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 89.9;Enteroendocrine cells: 72.7;Intestinal goblet cells: 83.7;Proximal enterocytes: 189.2;Undifferentiated cells: 66.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"eosinophil: 2.1;naive B-cell: 2.1"	"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in many"	7	"Gallbladder cancer: 91.2"		"Not detected"	"Not detected"												"Secreted to blood"		NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 45: Intestine - Digestion"	"Cluster 31: Non-specific - Transcription"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 22: Proximal enterocytes - Digestion"					"unprognostic (2.78e-3)"	"unprognostic (2.56e-3)"	"unprognostic (1.38e-1)"	"unprognostic (1.87e-3)"	"unprognostic (1.39e-1)"	"unprognostic (3.10e-2)"	"unprognostic (1.84e-3)"	"unprognostic (1.30e-1)"	"unprognostic (1.69e-2)"	"unprognostic (8.51e-2)"	"unprognostic (9.30e-3)"	"unprognostic (7.23e-2)"	"unprognostic (2.67e-2)"	"unprognostic (4.57e-3)"	"unprognostic (1.50e-1)"	"unprognostic (2.34e-1)"	"unprognostic (9.04e-2)"
ACAN	"AGC1, CSPG1, CSPGCP, MSK16"	ENSG00000157766	Aggrecan	P16112	15	88803436-88875353	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"			"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"seminal vesicle: 3.0"	"Cell type enriched"	"Detected in some"	16	"Extravillous trophoblasts: 152.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Bone cancer: 7.5;skin cancer: 8.0"	"Adipose visceral - Smooth muscle cells, Heart muscle - Smooth muscle cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Smooth muscle cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"CAB016377, HPA038241, HPA038242"	Enhanced				"Secreted to extracellular matrix"	"No annotated function"	NA	NA		17000000		"Cluster 64: Neuronal - Transcription"	"Cluster 1: Neurons - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 4: Extravillous trophoblasts - Unknown function"	1			"CAB016377: AB_626650, HPA038241: AB_2675909, HPA038242: AB_2675910"	"unprognostic (2.69e-3)"	"unprognostic (4.09e-2)"	"unprognostic (2.52e-1)"	"unprognostic (1.82e-1)"	"unprognostic (4.43e-2)"	"unprognostic (2.13e-2)"	"unprognostic (1.40e-2)"	"unprognostic (1.15e-1)"	"unprognostic (7.12e-2)"	"unprognostic (8.57e-2)"	"unprognostic (2.34e-1)"	"unprognostic (2.38e-2)"	"prognostic unfavorable (1.47e-6)"	"unprognostic (7.79e-2)"	"unprognostic (1.53e-1)"	"unprognostic (7.71e-2)"	"unprognostic (7.27e-2)"
ACE	"ACE1, CD143, DCP1"	ENSG00000159640	"Angiotensin I converting enzyme"	P12821	17	63477061-63498380	"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"		"Calmodulin-binding, Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 257.7;testis: 99.0"	"Group enriched"	"Detected in many"	20	"Early spermatids: 373.5;Late spermatids: 1317.0;Proximal enterocytes: 1039.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"memory B-cell: 1.0"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 17.2"	"Adipose subcutaneous - Adipose progenitor cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Fibroblast_1, Testis - Late spermatids, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002426, CAB002921, HPA029298, HPA069790"	Enhanced		Approved	Vesicles	"Secreted to blood"	Enzyme	NA	NA	104000000	170000000	"Cluster 14: Non-specific - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 33: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 22: Proximal enterocytes - Digestion"		Vesicles		"CAB002426: AB_442052, CAB002921: , HPA029298: AB_10960255, HPA069790: AB_2686197"	"unprognostic (4.72e-2)"	"unprognostic (4.16e-1)"	"unprognostic (1.93e-3)"	"unprognostic (6.06e-2)"	"unprognostic (2.78e-1)"	"unprognostic (1.35e-2)"	"unprognostic (4.37e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.56e-1)"	"unprognostic (1.25e-2)"	"unprognostic (3.13e-2)"	"unprognostic (2.38e-1)"	"unprognostic (7.66e-2)"	"unprognostic (9.07e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.76e-2)"
ACE2	ACEH	ENSG00000130234	"Angiotensin converting enzyme 2"	Q9BYF1	X	15494566-15607236	"Enzymes, Metabolic proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Host-virus interaction"	"Carboxypeptidase, Host cell receptor for virus entry, Hydrolase, Metalloprotease, Protease, Receptor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"gallbladder: 64.1;intestine: 237.9;kidney: 85.2"	"Cell type enriched"	"Detected in some"	5	"Proximal enterocytes: 201.8"	"Group enriched"	"Detected in many"	4	"colorectal cancer: 13.9;renal cancer: 26.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"ovarian cancer: 6.3"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"HPA000288, CAB026174, CAB026213, CAB080024, CAB080025, CAB080027, CAB080028"	Enhanced				"Secreted to blood"	Receptor	NA	NA	4530000	400000		"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 22: Proximal enterocytes - Digestion"	13			"CAB026174: , CAB026213: , CAB080024: AB_10864415, CAB080025: AB_2809589, CAB080027: AB_2665870, CAB080028: AB_2665871, HPA000288: AB_1078160"	"unprognostic (1.40e-1)"	"unprognostic (7.26e-2)"	"unprognostic (2.76e-2)"	"unprognostic (5.71e-2)"	"unprognostic (2.51e-1)"	"unprognostic (5.26e-2)"	"prognostic favorable (4.21e-4)"	"unprognostic (2.34e-2)"	"unprognostic (6.74e-3)"	"unprognostic (2.54e-3)"	"unprognostic (1.00e-1)"	"unprognostic (1.74e-1)"	"prognostic favorable (2.12e-5)"	"unprognostic (1.94e-1)"	"unprognostic (9.62e-2)"	"unprognostic (2.11e-1)"	"unprognostic (7.10e-2)"
